,raw_weight
ETF 94,0.20288521409444582
ETF 22,0.16150761189164503
ETF 67,0.12038702619556535
ETF 57,0.08545898311939534
ETF 14,0.08146946453626194
ETF 74,0.031609764905507806
ETF 65,0.025830022763565257
ETF 95,0.024788113831671794
ETF 24,0.024446190556997444
ETF 103,0.022122412902124928
ETF 7,0.022048890906624492
ETF 17,0.020689165359831944
ETF 60,0.018746594499201526
ETF 61,0.017309892541479473
ETF 29,0.011137333554343739
ETF 23,0.010918701946940366
ETF 18,0.01010736042317648
ETF 82,0.008808954445632327
ETF 33,0.008728746488165075
ETF 63,0.008371332089159168
ETF 54,0.00834218246849875
ETF 48,0.008232943100622494
ETF 1 ,0.008030420378821328
ETF 84,0.0064333648870819465
ETF 47,0.005753273945502493
ETF 58,0.005219559643436441
ETF 62,0.004227224213508665
ETF 46,0.0035911213036101458
ETF 85,0.0035357378831802145
ETF 73,0.0031314695072150265
ETF 9,0.002874960634862157
ETF 49,0.002381579439473762
ETF 52,0.0023167563790028184
ETF 70,0.0021571788910605396
ETF 5,0.0020598852588500074
ETF 15,0.001871972588571924
ETF 79,0.0018022799153477533
ETF 86,0.0017437747939127452
ETF 89,0.0013382709057304636
ETF 21,0.0010064895369593276
ETF 90,0.0008529343293287071
ETF 53,0.0007772776735360808
ETF 98,0.0007070493338883745
ETF 75,0.0006533745105070026
ETF 13,0.0006106541369866866
ETF 27,0.0005629476148326383
ETF 36,0.00043216205754225366
ETF 31,0.00040098488546074954
ETF 97,0.00039366413173624323
ETF 102,0.00035622190054425136
ETF 26,0.0003184276684625585
ETF 101,0.0002102497297957017
ETF 83,0.0001681729450137697
ETF 8,0.0001336563553806771
ETF 37,0.0
ETF 39,0.0
ETF 38,0.0
ETF 10,0.0
ETF 3,0.0
ETF 2,0.0
ETF 6,0.0
ETF 4,0.0
ETF 35,0.0
ETF 34,0.0
ETF 32,0.0
ETF 28,0.0
ETF 30,0.0
ETF 11,0.0
ETF 12,0.0
ETF 16,0.0
ETF 19,0.0
ETF 20,0.0
ETF 25,0.0
ETF 41,0.0
ETF 40,0.0
ETF 68,0.0
ETF 71,0.0
ETF 66,0.0
ETF 64,0.0
ETF 59,0.0
ETF 69,0.0
ETF 42,0.0
ETF 43,0.0
ETF 44,0.0
ETF 45,0.0
ETF 50,0.0
ETF 51,0.0
ETF 55,0.0
ETF 56,0.0
ETF 72,0.0
ETF 88,0.0
ETF 80,0.0
ETF 87,0.0
ETF 77,0.0
ETF 78,0.0
ETF 81,0.0
ETF 76,0.0
ETF 96,0.0
ETF 91,0.0
ETF 92,0.0
ETF 93,0.0
ETF 100,0.0
ETF 99,0.0
ETF 104,0.0
ETF 105,0.0
