,S&P 500,Nasdaq 100,US Small Caps,Euro Stoxx 50,UK FTSE,MSCI EM,Japan,US IG,US HY,EU IG,EU HY,EM Bond,Gold,Commodity
ETF 91,-0.031865261459951305,0.019550527382611437,-0.012005653830470425,-0.0749157817069525,-0.14337368553370838,-0.0590407997427264,-0.06328425473694853,0.7469473369921144,0.20660588441167602,0.7208656551550966,0.07950343327112215,0.37606344861062474,0.3249593725419103,-0.04387609831994009
ETF 92,0.9795086350351951,0.9025290076425514,0.8781801477991716,0.7363065900447353,0.676461794294098,0.5208356952298328,0.33018093182892894,0.23940060061728466,0.6941146078819058,0.210132848042091,0.5073249939902484,0.5168538140603836,0.0926491080512112,0.3255863168604095
ETF 93,0.8660867565984283,0.7524343435847135,0.9460872680523464,0.739785415872069,0.6800173720207066,0.5652189858871486,0.3633597397097287,0.2969395390313764,0.733606603795598,0.27037773728853637,0.5678337293751758,0.5736703124348994,0.15751973286997503,0.3827448100292665
ETF 94,0.9639463221399668,0.8838419817784126,0.8681433264921457,0.7501154820197606,0.683044517982513,0.5641438303737298,0.353503941183075,0.27438681310416946,0.725299982708382,0.24154815420364747,0.5380517037234066,0.5606850722282343,0.1406699621738709,0.35067798584033266
ETF 95,0.44606387101724426,0.4006689393544714,0.43056035871635673,0.5664719418053836,0.5537273224840777,0.9888057944976417,0.47698909317646665,0.1855103068121588,0.5446268071914424,0.21294745925263361,0.5863270308750542,0.5603782676179475,0.12182294779904211,0.32446860959573975
ETF 96,0.19481999662927785,0.18886057637379297,0.18544606386756332,0.2545359692184343,0.2603455026663132,0.6535181788183024,0.2960731768375919,0.0852668529789107,0.2826904539858847,0.11719525280832921,0.3028234725804702,0.28195972218244575,0.15001793672632,0.24127521649187764
ETF 97,0.20892724218281575,0.16117603514557666,0.1985833008918899,0.3144808656158624,0.32142949594673137,0.4787439894409335,0.9573128676834741,0.09812256199487794,0.26962927001948944,0.11434434062965504,0.40355815429191766,0.26056654208909774,0.02086070096040349,0.1636023587816221
ETF 98,0.7985644560099162,0.6156220167027829,0.7256999177470346,0.5804300663919697,0.5975958408209286,0.4209268057159582,0.2548765240212255,0.31297085219005355,0.6500068278093281,0.28472618288446105,0.5004518244384039,0.5257062093016115,0.22055617579492162,0.32343345593483624
ETF 99,0.8277231739363582,0.7014287391734438,0.8043396726294,0.6615718875469303,0.6750868987313752,0.4866761033772008,0.2560754317848484,0.24161730058253464,0.6151906615460283,0.17362705198605277,0.5061544118421708,0.49445476801048555,0.14906565510477665,0.3854522684217925
ETF 100,0.535492322421847,0.4402851953884621,0.49658047781181125,0.8110759026979716,0.7731592714831715,0.43714627946923346,0.27895553437057685,0.15997505627195419,0.5013163026293985,0.15645064175265513,0.4344920792384424,0.42884965456080465,0.02638978678675725,0.2116573111362468
ETF 101,0.9717518162714314,0.87652141375622,0.8759723842575962,0.637277053311834,0.5831031188281723,0.42710349621452953,0.2139726125082904,0.2243461150429812,0.6485152664081667,0.19649132695324578,0.44145546361929927,0.4647184470545915,0.09129363359349725,0.2959541954239955
ETF 102,0.3265444686059519,0.30869795181102555,0.30460644213259497,0.4398630285010739,0.4302031040558894,0.9756704384006389,0.5197745713318351,0.14578634096546214,0.44686859030443177,0.19732121834598623,0.5262121648329265,0.47344051167564977,0.0903831166987214,0.25203480718564436
ETF 103,0.44602115024143224,0.3774405265954786,0.42185694726962575,0.5235332615036888,0.4809813503080767,0.5522576485452486,0.29732618408320904,0.6177370614863087,0.7683550344546167,0.5676144337937776,0.6976204150477255,0.9989633550646749,0.20719493224710642,0.20559868521042507
