ETF,ann_return,ann_vol,sharpe,max_drawdown,risk_bucket,best_asset_class,best_correlation
ETF 22,0.14035044148736664,0.16562795959287835,0.8473837498955787,-0.3373540802238275,Medium,S&P 500,0.9530779753906583
ETF 23,0.20056376914424456,0.21257284460594617,0.9435060697241774,-0.3414054713235155,High,S&P 500,0.9906568517124786
ETF 24,0.1261481828163713,0.16897361424873672,0.7465555103217212,-0.353628103240725,Medium,Euro Stoxx 50,0.9707401051578979
ETF 25,0.12259744134685135,0.20140719100718465,0.6087043900159356,-0.3878020069216551,High,Euro Stoxx 50,0.9737750968690508
ETF 26,0.04901921909252249,0.070618885335572,0.6941375364336236,-0.22017775765975756,Low,US HY,0.9960075272479126
ETF 27,0.14916643173713418,0.19990601021159712,0.7461828265155411,-0.38239504732621854,Medium,Euro Stoxx 50,0.9999999999999996
ETF 28,0.16041202081151673,0.1698040321281895,0.9446891148639951,-0.33764411105084624,Medium,S&P 500,0.9398751727165255
ETF 29,0.18243109280693903,0.20663541168532132,0.8828646131804248,-0.33465457340990556,High,S&P 500,0.9782320018328012
ETF 30,0.06537542390511142,0.16874760451669965,0.3874154189764615,-0.39000552021560564,Medium,MSCI EM,0.9999999999999996
ETF 31,0.11874571052006044,0.20304609952248756,0.5848214311888775,-0.3652069446767201,High,S&P 500,0.8724372882003466
ETF 32,0.1549130764405131,0.2046161976933184,0.7570909741598217,-0.34594843296884403,High,S&P 500,0.9996163571528568
ETF 33,0.18996606517818249,0.20962472340553537,0.9062197535291595,-0.33954441538463387,High,S&P 500,0.997701519765659
ETF 34,0.029746745022931398,0.06643279705198539,0.44777197924774714,-0.15075176177357463,Low,US IG,0.7151067643181762
ETF 35,0.03200975718775556,0.04841840457978264,0.6611072270051914,-0.20461124947788323,Low,EU HY,0.9999999999607346
ETF 36,0.010628056029905908,0.09019820641148293,0.11783001517148653,-0.27243732871689585,Low,EM Bond,0.7425141641649933
ETF 37,0.09878214358264015,0.1616584642945666,0.611054571214062,-0.36538227356339936,Medium,Euro Stoxx 50,0.79197000104298
ETF 38,0.08268136723322783,0.13004938345568853,0.6357690058669112,-0.2926924916755822,Medium,S&P 500,0.8742706775798258
ETF 39,-0.011532769882852678,0.061234321618661235,-0.18833833017165413,-0.22392331910761865,Low,EU IG,0.8259904535696966
ETF 40,0.1624490746215561,0.17507636428037002,0.927875531853104,-0.32433342471560955,Medium,S&P 500,0.9440188115882647
ETF 41,0.13699819326265428,0.16431290505570126,0.8337640504634287,-0.33162150035795945,Medium,Euro Stoxx 50,0.9561357117286468
ETF 42,0.04483758008472605,0.17857111512944807,0.25109088920804923,-0.38027118276342353,Medium,MSCI EM,0.9535489655217871
ETF 43,0.004025583188330906,0.02260462420599699,0.17808671144654203,-0.10107361542364635,Low,EU IG,0.9642506806517173
ETF 44,0.08504830190782875,0.1722314573497804,0.4938023704642199,-0.3346012533233975,Medium,Japan,0.8278749868607576
ETF 45,0.001049726760787184,0.07478363216092523,0.014036851787678625,-0.2363190312896315,Low,US IG,0.80195182868468
ETF 46,0.008504321079880084,0.0030115986505929696,2.8238560533972956,-0.01265022533392568,Low,EU IG,0.48878082968021275
ETF 47,0.13123817944423521,0.20141859723167416,0.6515693250176072,-0.38779389369837425,High,Euro Stoxx 50,0.973661205251646
ETF 48,0.02986767736794249,0.007340662485397744,4.068798616930846,-0.041250972955647947,Low,EU HY,0.5062747289197557
ETF 49,0.11420524464315318,0.22404631414646187,0.5097394486413902,-0.39487854858625737,High,S&P 500,0.9181862840349333
ETF 50,0.15059917741934847,0.17237146705620338,0.8736897120579948,-0.32409922074237274,Medium,S&P 500,0.9422853157925408
ETF 51,0.12501836317197168,0.16833715328394722,0.7426664924117707,-0.35252223164855967,Medium,Euro Stoxx 50,0.9701276487863641
ETF 52,0.15622661704135754,0.21404404700082688,0.7298806915230585,-0.3905605317784596,High,S&P 500,0.9506699970729542
ETF 53,0.3151340434637604,0.2682391437826767,1.1748249678245215,-0.3405614962714768,High,Nasdaq 100,0.977381811881701
ETF 54,0.13901735091588452,0.16466005425913344,0.8442688273204759,-0.3321374901527221,Medium,Euro Stoxx 50,0.951696002060309
ETF 55,0.12140024472090971,0.1940900630549522,0.6254840809987166,-0.3569389566346681,Medium,Euro Stoxx 50,0.9233458393587934
ETF 56,0.10324054191860998,0.14871488588539158,0.6942179412905122,-0.36904568464021503,Medium,Euro Stoxx 50,0.8085640608508963
ETF 57,0.0017105175176173049,0.03903057726239082,0.04382506326047936,-0.17101802505180885,Low,EU IG,0.9845055847842885
ETF 58,0.19639703553456012,0.20573754240259656,0.9545998909146173,-0.33145999894206957,High,S&P 500,0.9977285519234201
ETF 59,0.14850402211733837,0.17509039022875084,0.8481563261314451,-0.33582068856743363,Medium,S&P 500,0.9669160284159262
ETF 60,0.1293509197093321,0.18811611650465512,0.6876121095458144,-0.3806851084302655,Medium,Euro Stoxx 50,0.994049506170799
ETF 61,0.008453412073305078,0.05538786956238012,0.15262208386232465,-0.18405038317101752,Low,US IG,0.8991128795775765
ETF 62,0.18611290309550355,0.2076006200822544,0.8964949286845236,-0.32605750737736616,High,S&P 500,0.9776595733494001
ETF 63,0.13616009452196698,0.1600222458384693,0.850882287075327,-0.30972831068659745,Medium,S&P 500,0.944057568599805
ETF 64,-0.0024272113406167417,0.00018672688581746174,-12.998724473933049,-0.013428908741039636,Low,Nasdaq 100,-0.03459877240332346
ETF 65,0.006124307981751453,0.010487749388503647,0.5839487343647565,-0.04791887013748952,Low,EU IG,0.9230614809950428
ETF 66,0.15962876239453383,0.1976061646166687,0.8078126646716398,-0.38553682954759083,Medium,Euro Stoxx 50,0.9795643226130876
ETF 67,0.18944606673816788,0.20591775342341126,0.92000841884005,-0.34372385382470305,High,S&P 500,0.9441315546816464
ETF 68,0.1262665169221826,0.16046136151280677,0.7868967066698173,-0.3191884271934575,Medium,S&P 500,0.9646035554851895
ETF 69,0.17857615370844027,0.21587553553890457,0.8272181155805759,-0.44665374476733966,High,Nasdaq 100,0.8409742491460959
ETF 70,-0.011657910278914496,0.05979364816639973,-0.1949690416358557,-0.2237887654534244,Low,EU IG,0.8396631943683809
ETF 71,0.1247910274151891,0.16872301707492227,0.7396206491481542,-0.3539254415289127,Medium,Euro Stoxx 50,0.9698909021191332
ETF 72,0.02098779930257022,0.0016415315174417243,12.785498834210049,0.0,Low,EU HY,0.030393529195664657
ETF 73,0.07913426228468179,0.17796813518041826,0.44465410734600364,-0.3936535917672571,Medium,MSCI EM,0.7649416653858822
ETF 74,0.25141220502099726,0.2480441310304512,1.0135785272425275,-0.3556313935977472,High,Nasdaq 100,0.9999910487725817
ETF 75,0.16680902228158234,0.24482636114037568,0.681336035484918,-0.3867312913927008,High,Nasdaq 100,0.8189305981891732
ETF 76,0.015838726438079043,0.06241715057875314,0.2537559996125578,-0.24968795072562122,Low,US IG,0.9178684245371352
ETF 77,0.16283390676207454,0.17832484757827838,0.9131307777543236,-0.33717264419332926,Medium,S&P 500,0.9655005397592724
ETF 78,0.0016302640454954886,0.038966467858056346,0.04183761411052376,-0.17022890963160553,Low,EU IG,0.984214371886245
ETF 79,0.1223462221314846,0.19355608322132753,0.6320970134097214,-0.40049062042135697,Medium,Euro Stoxx 50,0.9354209364464944
ETF 80,0.1791433295560203,0.20403279763344503,0.8780124158168929,-0.3446500810315378,High,S&P 500,0.9989845696969268
ETF 81,0.05906593300319107,0.17054489361217195,0.34633656717691064,-0.398099427843128,Medium,MSCI EM,0.9967800866828718
ETF 82,0.09182221693785797,0.17491264107341853,0.5249604395334477,-0.3341780920397832,Medium,Japan,0.8354211589257835
ETF 83,0.18775804900176896,0.2100040072358088,0.8940688869376652,-0.3396672009888343,High,S&P 500,0.988223712549168
ETF 84,0.1784124223986605,0.17614570455744236,1.0128684253011628,-0.3246156083566142,Medium,S&P 500,0.9401404294781865
ETF 85,0.10329724049230204,0.14376888750313851,0.7184950950534902,-0.263289229321243,Medium,Euro Stoxx 50,0.8191175164438042
ETF 86,-0.0011568036522002778,0.04091520594786564,-0.02827319636797827,-0.18166160195136705,Low,EU IG,0.9984982267101354
ETF 87,0.014218428125621463,0.0738330593391967,0.19257536194322566,-0.2570185090593017,Low,EM Bond,0.7265705217560383
ETF 88,0.13317619915372325,0.17952099953479803,0.7418418987128501,-0.28434610276699956,Medium,S&P 500,0.8431724497139573
ETF 89,0.1293463550598395,0.1881090848959664,0.6876135468490233,-0.38070229366050057,Medium,Euro Stoxx 50,0.9940564563475317
ETF 90,-0.009335551794373398,0.06228371337025715,-0.14988752740024458,-0.20328645926040856,Low,EU IG,0.49422926409303836
ETF 91,-0.014432906414182933,0.04613157289951929,-0.3128639564408464,-0.20873931254098788,Low,US IG,0.7469473369921144
ETF 92,0.13874871721391502,0.16976454995780274,0.8173008867187106,-0.3332066148980446,Medium,S&P 500,0.9795086350351951
ETF 93,0.11731626823772867,0.195306617431321,0.6006773850301442,-0.40929098885720405,Medium,US Small Caps,0.9460872680523464
ETF 94,0.14866560849247468,0.1709521887425743,0.8696326709004029,-0.3401960810076018,Medium,S&P 500,0.9639463221399668
ETF 95,0.07276095651078829,0.16325885351070146,0.44567847284324386,-0.3527121447582944,Medium,MSCI EM,0.9888057944976417
ETF 96,0.08184960816242626,0.20159071210629623,0.40601874613780814,-0.47536340322711834,High,MSCI EM,0.6535181788183024
ETF 97,0.16196127761911283,0.1647171112434812,0.9832692936176208,-0.2835066679363689,Medium,Japan,0.9573128676834741
ETF 98,0.0827141335826973,0.16867937340308412,0.49036305929972684,-0.35348279477482736,Medium,S&P 500,0.7985644560099162
ETF 99,0.12606944296381362,0.17673720286552902,0.713315821003085,-0.3688226794409949,Medium,S&P 500,0.8277231739363582
ETF 100,0.11455319524438323,0.149881229388018,0.764293138721352,-0.2669325592092079,Medium,Euro Stoxx 50,0.8110759026979716
ETF 101,0.19099439814473973,0.20892398499928136,0.9141812901251941,-0.3470100537284043,High,S&P 500,0.9717518162714314
ETF 102,0.07870463907475456,0.18032570814482093,0.4364582281942088,-0.4457567521378627,Medium,MSCI EM,0.9756704384006389
ETF 103,0.0010295219156877256,0.08316582016135736,0.012379147030477895,-0.30744437720918594,Low,EM Bond,0.9989633550646749
ETF 104,0.13350475760516822,0.1876794929669408,0.7113444068643381,-0.3788974481416012,Medium,Euro Stoxx 50,0.9937787345021438
ETF 105,0.16200274396650194,0.17554061129622547,0.9228790008775899,-0.32711176153365695,Medium,S&P 500,0.9660501527037129
