,mu_ann,vol_ann,sharpe_ann_rf0
Unnamed: 1,0.1670172915784099,0.20399695964338352,0.81872441565002
Unnamed: 2,0.14134104870329092,0.17445032868740376,0.8102079816459326
Unnamed: 3,0.06682028496358153,0.16479352588331123,0.40547882330581575
Unnamed: 4,0.12983671349439724,0.16344197856035966,0.7943902456274299
Unnamed: 5,0.09157578447492055,0.16854056979683046,0.5433456442286378
Unnamed: 6,0.16934791829590498,0.20331688918288673,0.8329259756850493
Unnamed: 7,0.0028379703621339287,0.039271301382720135,0.0722657580016605
Unnamed: 8,0.1252548738007387,0.14661068073529165,0.8543366224926594
Unnamed: 9,0.17661453663825374,0.20624871733579442,0.8563182303369522
Unnamed: 10,0.022339507159941922,0.08201194436447795,0.2723933365201117
Unnamed: 11,0.026544353411807706,0.0865511789896003,0.3066896802757267
Unnamed: 12,0.23089721731323523,0.24794183797099786,0.9312555686557572
Unnamed: 13,0.14870371842408864,0.28322980684664145,0.5250284921622188
Unnamed: 14,0.11749893338568383,0.16827348825261373,0.6982617083999194
Unnamed: 15,0.022800654116000667,0.02428813767632818,0.938756788184001
Unnamed: 16,0.16470455332587938,0.2072366593049636,0.7947655297970463
Unnamed: 17,0.14212275103266997,0.1705865480369046,0.8331416085746879
Unnamed: 18,0.14032989278295765,0.16061145336427873,0.8737228251379994
Unnamed: 19,0.1677828452805488,0.20630961560264302,0.8132575148785228
Unnamed: 20,-0.006517750333274733,0.0560442001880036,-0.11629660716738845
Unnamed: 21,0.03399121810581772,0.043889111973412914,0.7744795138805468
Unnamed: 22,0.13081760761758798,0.16557405381782267,0.7900851890811563
Unnamed: 23,0.18245915585457154,0.21249915541166922,0.8586347343409344
Unnamed: 24,0.11851061964262534,0.16891507900457642,0.701598817234159
Unnamed: 25,0.1159506400291868,0.20133647756436457,0.5759047810505125
Unnamed: 26,0.04795845360257955,0.0705940947369376,0.6793550336085803
Unnamed: 27,0.13848320386634963,0.1998396405513529,0.6929716420840115
Unnamed: 28,0.14966449180497687,0.1697552364430616,0.8816487487570173
Unnamed: 29,0.16676062206642447,0.20657191085053267,0.8072763686979975
Unnamed: 30,0.061387315698914466,0.1687501028950459,0.3637764638110727
Unnamed: 31,0.11106209035369259,0.20299254560188337,0.547123984402421
Unnamed: 32,0.14415790075335472,0.20454337814573798,0.704779113654032
Unnamed: 33,0.1740621213342694,0.2095500836304269,0.8306468712331995
Unnamed: 34,0.02942414278564257,0.06640962093655775,0.44307048241928615
Unnamed: 35,0.03131147541373974,0.048403416577686424,0.6468856462536174
Unnamed: 36,0.010817522030031114,0.09016791531758346,0.11997085650622347
Unnamed: 37,0.094400741848222,0.1616014052335978,0.5841579267937923
Unnamed: 38,0.07813915908468451,0.13004002490411815,0.6008854515546157
Unnamed: 39,-0.011022196996592536,0.06122766147421057,-0.18001989184635356
Unnamed: 40,0.14966290736269372,0.17502717223028055,0.855083844728889
Unnamed: 41,0.12824125771881192,0.16425490538366827,0.7807453751184155
Unnamed: 42,0.04250214570863693,0.1785364590545751,0.23805863482284512
Unnamed: 43,0.004103071971954688,0.02259746894086268,0.1815721921199397
Unnamed: 44,0.08226938902493565,0.17217652240431244,0.4778200179449964
Unnamed: 45,0.0014870930889534194,0.07476412175388744,0.019890464223584575
Unnamed: 46,0.008431658935935046,0.0030117812015154426,2.7995589227041044
Unnamed: 47,0.12361597101713605,0.2013478343919808,0.613942391734308
Unnamed: 48,0.029437644231422627,0.007338057865708455,4.011639696790612
Unnamed: 49,0.11010824965591481,0.22401343915443214,0.491525196307564
Unnamed: 50,0.1393908739617772,0.1723240390487179,0.8088881547302282
Unnamed: 51,0.11750188927365188,0.16827889934322013,0.6982568208625852
Unnamed: 52,0.1451888352793088,0.21396775539968185,0.6785547430177167
Unnamed: 53,0.27401421967019973,0.2681435877471084,1.0218936129422869
Unnamed: 54,0.130048687684735,0.16460174751706033,0.7900808445017021
Unnamed: 55,0.11306945540058412,0.19405469597478336,0.5826679680829628
Unnamed: 56,0.09750335011937798,0.14867291816197106,0.6558245531519963
Unnamed: 57,0.00206975696848867,0.0390259529391213,0.05303539856457564
Unnamed: 58,0.17953720801339412,0.2056645504351392,0.8729613714834881
Unnamed: 59,0.13797173365277846,0.175032393331362,0.7882639951770397
