portfolio,CAGR,Vol,Sharpe,MaxDD,VaR95,ES95
GMV,0.0147993077367227,0.0078962789063572,1.864480394413179,-0.031485063857308,0.0006775844568185,0.001158077333707
MaxSharpe,0.0111238681597927,0.0016475260028715,6.715555391526498,-0.007361471008764,5.045795470892101e-05,0.0001843221401601
ERC,0.0970143837490689,0.11717849377451738,0.8492106166349761,-0.26349036040981877,0.009867229208138994,0.017583686188880447
