ret,vol
0.014722457209647415,0.007836594649501089
0.021370963940590026,0.0069390297619818875
0.028019470669409095,0.011986696289373355
0.03466797739694416,0.012876946872728712
0.041316484128961876,0.01663670260700107
0.047964990858293005,0.02158400695093874
0.05461349758812546,0.026189249738919097
0.06126200431758955,0.030911072587117144
0.06791051105033054,0.035580229377574955
0.07455901777672325,0.040423823750654134
0.08120752450459078,0.045349041405133024
0.08785603123691285,0.05033551812548708
0.09450453797007821,0.05552533143573791
0.10115304469650856,0.06049990932416664
0.10780155142438957,0.06563715017964139
0.11445005816030195,0.07079626765987128
0.121098564888194,0.07591450625138232
0.1277470716152499,0.08107990991800845
0.1343955783486208,0.08636521712432235
0.14104408506599483,0.09174763321290304
0.14769259180270786,0.09713923519104936
0.15434109853794997,0.10262057786745175
0.1609896052380059,0.10841437446344745
0.1676381119877527,0.1141935126583439
0.17428661872259713,0.120236823610541
0.18093512545363938,0.12681682502008731
0.1875836321828374,0.13449146201565898
0.19423213891284558,0.14471454209498277
0.20088064563709515,0.15618880567819238
0.20752915237215094,0.1686284061390441
0.21417765910211112,0.18244872322998423
0.22082616583219195,0.1972670050119535
0.22747467253688264,0.21375807710338848
0.23412317928931056,0.2319016769246992
