,ERC
Unnamed: 1,0.009523809523809525
Unnamed: 2,0.009523809523809525
Unnamed: 3,0.009523809523809525
Unnamed: 4,0.009523809523809525
Unnamed: 5,0.009523809523809525
Unnamed: 6,0.009523809523809525
Unnamed: 7,0.009523809523809525
Unnamed: 8,0.009523809523809525
Unnamed: 9,0.009523809523809525
Unnamed: 10,0.009523809523809525
Unnamed: 11,0.009523809523809525
Unnamed: 12,0.009523809523809525
Unnamed: 13,0.009523809523809525
Unnamed: 14,0.009523809523809525
Unnamed: 15,0.009523809523809525
Unnamed: 16,0.009523809523809525
Unnamed: 17,0.009523809523809525
Unnamed: 18,0.009523809523809525
Unnamed: 19,0.009523809523809525
Unnamed: 20,0.009523809523809525
Unnamed: 21,0.009523809523809525
Unnamed: 22,0.009523809523809525
Unnamed: 23,0.009523809523809525
Unnamed: 24,0.009523809523809525
Unnamed: 25,0.009523809523809525
Unnamed: 26,0.009523809523809525
Unnamed: 27,0.009523809523809525
Unnamed: 28,0.009523809523809525
Unnamed: 29,0.009523809523809525
Unnamed: 30,0.009523809523809525
Unnamed: 31,0.009523809523809525
Unnamed: 32,0.009523809523809525
Unnamed: 33,0.009523809523809525
Unnamed: 34,0.009523809523809525
Unnamed: 35,0.009523809523809525
Unnamed: 36,0.009523809523809525
Unnamed: 37,0.009523809523809525
Unnamed: 38,0.009523809523809525
Unnamed: 39,0.009523809523809525
Unnamed: 40,0.009523809523809525
Unnamed: 41,0.009523809523809525
Unnamed: 42,0.009523809523809525
Unnamed: 43,0.009523809523809525
Unnamed: 44,0.009523809523809525
Unnamed: 45,0.009523809523809525
Unnamed: 46,0.009523809523809525
Unnamed: 47,0.009523809523809525
Unnamed: 48,0.009523809523809525
Unnamed: 49,0.009523809523809525
Unnamed: 50,0.009523809523809525
Unnamed: 51,0.009523809523809525
Unnamed: 52,0.009523809523809525
Unnamed: 53,0.009523809523809525
Unnamed: 54,0.009523809523809525
Unnamed: 55,0.009523809523809525
Unnamed: 56,0.009523809523809525
Unnamed: 57,0.009523809523809525
Unnamed: 58,0.009523809523809525
Unnamed: 59,0.009523809523809525
Unnamed: 60,0.009523809523809525
Unnamed: 61,0.009523809523809525
Unnamed: 62,0.009523809523809525
Unnamed: 63,0.009523809523809525
Unnamed: 64,0.009523809523809525
Unnamed: 65,0.009523809523809525
Unnamed: 66,0.009523809523809525
Unnamed: 67,0.009523809523809525
Unnamed: 68,0.009523809523809525
Unnamed: 69,0.009523809523809525
Unnamed: 70,0.009523809523809525
Unnamed: 71,0.009523809523809525
Unnamed: 72,0.009523809523809525
Unnamed: 73,0.009523809523809525
Unnamed: 74,0.009523809523809525
Unnamed: 75,0.009523809523809525
Unnamed: 76,0.009523809523809525
Unnamed: 77,0.009523809523809525
Unnamed: 78,0.009523809523809525
Unnamed: 79,0.009523809523809525
Unnamed: 80,0.009523809523809525
Unnamed: 81,0.009523809523809525
Unnamed: 82,0.009523809523809525
Unnamed: 83,0.009523809523809525
Unnamed: 84,0.009523809523809525
Unnamed: 85,0.009523809523809525
Unnamed: 86,0.009523809523809525
Unnamed: 87,0.009523809523809525
Unnamed: 88,0.009523809523809525
Unnamed: 89,0.009523809523809525
Unnamed: 90,0.009523809523809525
Unnamed: 91,0.009523809523809525
Unnamed: 92,0.009523809523809525
Unnamed: 93,0.009523809523809525
Unnamed: 94,0.009523809523809525
Unnamed: 95,0.009523809523809525
Unnamed: 96,0.009523809523809525
Unnamed: 97,0.009523809523809525
Unnamed: 98,0.009523809523809525
Unnamed: 99,0.009523809523809525
Unnamed: 100,0.009523809523809525
Unnamed: 101,0.009523809523809525
Unnamed: 102,0.009523809523809525
Unnamed: 103,0.009523809523809525
Unnamed: 104,0.009523809523809525
Unnamed: 105,0.009523809523809525
