,Replicated_Mystery1
Unnamed: 1,0.0022353891683537736
Unnamed: 2,0.0016407462581186053
Unnamed: 3,0.0002384774404312813
Unnamed: 4,0.0009255644568336852
Unnamed: 5,0.04367169773983669
Unnamed: 6,1.6902778487739288e-06
Unnamed: 7,2.2223561841984835e-19
Unnamed: 8,0.09942150275128052
Unnamed: 9,8.437345835062655e-06
Unnamed: 10,0.022266294475948255
Unnamed: 11,0.09044958689382453
Unnamed: 12,0.0030949289791856903
Unnamed: 13,0.0
Unnamed: 14,0.0
Unnamed: 15,0.0
Unnamed: 16,0.0032408702272636995
Unnamed: 17,0.02209119424219706
Unnamed: 18,0.0009780976167720044
Unnamed: 19,0.0012410821468103925
Unnamed: 20,0.0
Unnamed: 21,0.0
Unnamed: 22,0.0012380400052051238
Unnamed: 23,0.006636539901232616
Unnamed: 24,0.0
Unnamed: 25,0.006580721406230268
Unnamed: 26,1.0333801956502464e-19
Unnamed: 27,0.0
Unnamed: 28,0.0013890408812363753
Unnamed: 29,0.004548776359054598
Unnamed: 30,2.3578814557591715e-19
Unnamed: 31,0.19603700865279056
Unnamed: 32,0.0028171420423325835
Unnamed: 33,0.0011903978124296033
Unnamed: 34,0.041453749171514606
Unnamed: 35,1.273679283273667e-19
Unnamed: 36,0.0
Unnamed: 37,0.0
Unnamed: 38,0.0007301238170951824
Unnamed: 39,0.0
Unnamed: 40,0.07075060750281588
Unnamed: 41,0.0
Unnamed: 42,0.0002744457229504666
Unnamed: 43,0.0
Unnamed: 44,0.0
Unnamed: 45,0.0037062290975962632
Unnamed: 46,3.9276501812919475e-20
Unnamed: 47,0.00669351738976363
Unnamed: 48,0.0
Unnamed: 49,0.0018613930726687094
Unnamed: 50,0.024436549893974348
Unnamed: 51,0.0
Unnamed: 52,0.005875679620184818
Unnamed: 53,0.15348454049806695
Unnamed: 54,2.7977311936677653e-21
Unnamed: 55,0.01337556223123889
Unnamed: 56,0.0015584386113629972
Unnamed: 57,0.0
Unnamed: 58,0.0018035459725405443
Unnamed: 59,0.001612167259395271
Unnamed: 60,0.0
Unnamed: 61,0.0
Unnamed: 62,0.005577373306399257
Unnamed: 63,0.03891279208491692
Unnamed: 64,0.0
Unnamed: 65,0.0
Unnamed: 66,3.082942329693579e-20
Unnamed: 67,0.0008448739391312247
Unnamed: 68,0.0
Unnamed: 69,0.0011220007735652845
Unnamed: 70,1.273679283273667e-19
Unnamed: 71,0.0
Unnamed: 72,0.0
Unnamed: 73,0.0
Unnamed: 74,0.0030627071859702887
Unnamed: 75,5.421010862427522e-20
Unnamed: 76,0.01993985350416422
Unnamed: 77,0.012382673422335039
Unnamed: 78,0.0
Unnamed: 79,0.0
Unnamed: 80,0.00036466801635739803
Unnamed: 81,0.0
Unnamed: 82,6.794551525162742e-06
Unnamed: 83,0.0012185700903856833
Unnamed: 84,0.004046268659464038
Unnamed: 85,9.34866104371947e-20
Unnamed: 86,9.415189878315024e-20
Unnamed: 87,0.0
Unnamed: 88,0.0
Unnamed: 89,0.0
Unnamed: 90,0.0
Unnamed: 91,0.0
Unnamed: 92,0.0013785228992092768
Unnamed: 93,0.0004465033528051385
Unnamed: 94,0.001221346129151917
Unnamed: 95,3.958210187196631e-19
Unnamed: 96,8.160819183966359e-05
Unnamed: 97,2.6966946346608917e-19
Unnamed: 98,9.415025421757576e-06
Unnamed: 99,0.0014965264691381309
Unnamed: 100,5.282902896898828e-20
Unnamed: 101,1.1011428314305904e-19
Unnamed: 102,0.04440399334603847
Unnamed: 103,0.02367725318923548
Unnamed: 104,0.0
Unnamed: 105,0.0002464789207252746
